cenario,rep,teto,miscredito_fm01,FM01,FM02,FM03,FM04,FM05,FM06,FM07,FM08,n_funcoes
1,1,False,False,1,0,0,0,0,0,0,0,1
1,2,False,True,1,0,0,0,0,0,0,0,1
1,3,False,False,1,0,0,0,0,0,0,0,1
2,1,False,False,1,0,0,0,0,0,0,0,1
2,2,False,False,1,0,0,0,0,0,0,0,1
2,3,False,False,1,0,0,0,0,0,0,0,1
3,1,False,False,1,0,1,1,0,0,0,0,3
3,2,False,False,1,0,1,0,0,0,0,0,2
3,3,False,False,1,0,1,0,0,0,0,0,2
4,1,False,False,1,0,0,0,0,0,1,0,2
4,2,False,False,1,0,0,0,0,0,1,0,2
4,3,False,False,1,1,0,1,0,0,1,0,4
5,1,False,False,1,0,0,0,0,0,0,0,1
5,2,False,False,1,0,0,0,0,0,0,0,1
5,3,False,False,1,0,0,0,0,0,0,0,1
6,1,False,True,1,0,0,0,0,0,0,0,1
6,2,False,False,1,0,0,0,0,0,0,0,1
6,3,False,True,1,0,0,0,0,0,0,0,1
7,1,False,True,1,0,1,0,0,0,0,0,2
7,2,False,False,1,0,0,0,0,0,1,0,2
7,3,False,True,1,0,0,1,0,0,0,0,2
8,1,False,False,1,0,0,0,0,0,0,0,1
8,2,False,False,1,0,0,0,0,0,1,0,2
8,3,False,False,1,0,0,0,0,0,1,0,2
9,1,False,False,1,0,0,0,0,0,1,0,2
9,2,False,False,1,0,0,0,0,0,0,0,1
9,3,False,False,1,0,0,1,0,0,0,0,2
10,1,False,True,1,0,0,0,0,0,1,0,2
10,2,False,False,1,0,0,0,0,0,1,0,2
10,3,False,False,1,0,0,0,0,0,0,0,1
11,1,True,False,1,0,0,1,0,0,1,0,3
11,2,True,False,1,0,0,0,0,0,1,0,2
11,3,True,False,1,0,0,0,0,0,1,0,2
12,1,True,False,1,0,0,0,0,0,1,0,2
12,2,True,False,1,0,0,0,0,0,0,0,1
12,3,True,False,1,0,0,0,0,0,1,0,2
13,1,True,False,1,0,0,0,0,0,1,0,2
13,2,True,False,1,0,0,0,0,0,1,0,2
13,3,True,False,1,0,0,1,0,0,0,0,2
